Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Open Gaming/Badge Pick Up Opens,05/20/2026,9:00 AM,05/20/2026,11:00 PM,False,Session: N/A,Rooks Con 2026,True
Blood on the Clocktower - DEMO,05/20/2026,9:00 AM,05/20/2026,10:00 AM,False,Session: DEMO,Rooks Con 2026,True
Dominion - DEMO,05/20/2026,9:00 AM,05/20/2026,10:00 AM,False,Session: DEMO,Rooks Con 2026,True
Splendor - DEMO,05/20/2026,9:00 AM,05/20/2026,10:00 AM,False,Session: DEMO,Rooks Con 2026,True
Nidavellir - DEMO,05/20/2026,9:00 AM,05/20/2026,10:00 AM,False,Session: DEMO,Rooks Con 2026,True
Root - DEMO,05/20/2026,9:00 AM,05/20/2026,10:00 AM,False,Session: DEMO,Rooks Con 2026,True
Kingdom Builder - DEMO,05/20/2026,9:00 AM,05/20/2026,10:00 AM,False,Session: DEMO,Rooks Con 2026,True
Nidavellir - Heat 1-2,05/20/2026,10:00 AM,05/20/2026,11:00 AM,False,Session: Heat 1-2,Rooks Con 2026,True
Flamecraft - DEMO,05/20/2026,10:00 AM,05/20/2026,11:00 AM,False,Session: DEMO,Rooks Con 2026,True
Wingspan - DEMO,05/20/2026,10:00 AM,05/20/2026,11:00 AM,False,Session: DEMO,Rooks Con 2026,True
Terraforming Mars - DEMO,05/20/2026,10:00 AM,05/20/2026,11:00 AM,False,Session: DEMO,Rooks Con 2026,True
Kingdomino - DEMO,05/20/2026,10:00 AM,05/20/2026,11:00 AM,False,Session: DEMO,Rooks Con 2026,True
Orleans - DEMO,05/20/2026,11:00 AM,05/20/2026,12:00 PM,False,Session: DEMO,Rooks Con 2026,True
Lords of Waterdeep - DEMO,05/20/2026,11:00 AM,05/20/2026,12:00 PM,False,Session: DEMO,Rooks Con 2026,True
Kingdomino - Heat 1-3,05/20/2026,11:00 AM,05/20/2026,12:00 PM,False,Session: Heat 1-3,Rooks Con 2026,True
Lords of Waterdeep - Heat 1-3,05/20/2026,12:00 PM,05/20/2026,2:00 PM,False,Session: Heat 1-3,Rooks Con 2026,True
Catan with Expansions - DEMO,05/20/2026,12:00 PM,05/20/2026,1:00 PM,False,Session: DEMO,Rooks Con 2026,True
Carcassonne - DEMO,05/20/2026,1:00 PM,05/20/2026,2:00 PM,False,Session: DEMO,Rooks Con 2026,True
Kingdom Builder - Heat 1-2,05/20/2026,1:00 PM,05/20/2026,2:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Carcassonne - Heat 1-3,05/20/2026,2:00 PM,05/20/2026,3:00 PM,False,Session: Heat 1-3,Rooks Con 2026,True
Catan (Base Only) - DEMO,05/20/2026,2:00 PM,05/20/2026,3:00 PM,False,Session: DEMO,Rooks Con 2026,True
Catan with expansions - Heat 1-2,05/20/2026,3:00 PM,05/20/2026,5:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Root - Heat 1-3,05/20/2026,3:00 PM,05/20/2026,6:00 PM,False,Session: Heat 1-3,Rooks Con 2026,True
Azul - DEMO,05/20/2026,4:00 PM,05/20/2026,5:00 PM,False,Session: DEMO,Rooks Con 2026,True
Orleans - Heat 1-2,05/20/2026,4:00 PM,05/20/2026,6:00 PM,False,Session: Heat 1-2,Rooks Con 2026,True
Lost Ruins of Arnak - DEMO,05/20/2026,4:00 PM,05/20/2026,5:00 PM,False,Session: DEMO,Rooks Con 2026,True
Lords of Waterdeep - Heat 2-3,05/20/2026,5:00 PM,05/20/2026,7:00 PM,False,Session: Heat 2-3,Rooks Con 2026,True
7 Wonders - DEMO,05/20/2026,5:00 PM,05/20/2026,6:00 PM,False,Session: DEMO,Rooks Con 2026,True
Heat Pedal to the Medal - DEMO,05/20/2026,5:00 PM,05/20/2026,6:00 PM,False,Session: DEMO,Rooks Con 2026,True
Brass Birmingham - DEMO,05/20/2026,6:00 PM,05/20/2026,7:00 PM,False,Session: DEMO,Rooks Con 2026,True
7 Wonders (Base) - Heat 1-3,05/20/2026,6:00 PM,05/20/2026,7:00 PM,False,Session: Heat 1-3,Rooks Con 2026,True
Tyrants of the Underdark - DEMO,05/20/2026,6:00 PM,05/20/2026,7:00 PM,False,Session: DEMO,Rooks Con 2026,True
